# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 209:         4.518       52.465       0.00  IJMOND
# 210:         4.430       52.171      -0.20  VALKENBURG
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 235:         4.781       52.928       1.20  DE KOOY
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 242:         4.921       53.241      10.80  VLIELAND
# 248:         5.174       52.634       0.80  WIJDENES
# 249:         4.979       52.644      -2.40  BERKHOUT
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 260:         5.180       52.100       1.90  DE BILT
# 265:         5.274       52.130      13.90  SOESTERBERG
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 273:         5.888       52.703      -3.30  MARKNESSE
# 275:         5.873       52.056      48.20  DEELEN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 278:         6.259       52.435       3.60  HEINO
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 290:         6.891       52.274      34.80  TWENTHE
# 308:         3.379       51.381       0.00  CADZAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 315:         3.998       51.447       0.00  HANSWEERT
# 316:         3.694       51.657       0.00  SCHAAR
# 319:         3.861       51.226       1.70  WESTDORPE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 324:         4.006       51.596       0.00  STAVENISSE
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 331:         4.193       51.480       0.00  THOLEN
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 348:         4.926       51.970      -0.70  CABAUW
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 356:         5.146       51.859       0.70  HERWIJNEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 375:         5.707       51.659      22.00  VOLKEL
# 377:         5.763       51.198      30.00  ELL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 391:         6.197       51.498      19.50  ARCEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# UG       = Etmaalgemiddelde relatieve vochtigheid (in procenten); 
# EV24     = Referentiegewasverdamping (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   TG,   RH,   UG, EV24
# 
  209,20161201,     ,     ,     ,     
  209,20161202,     ,     ,     ,     
  209,20161203,     ,     ,     ,     
  209,20161204,     ,     ,     ,     
  209,20161205,     ,     ,     ,     
  209,20161206,     ,     ,     ,     
  209,20161207,     ,     ,     ,     
  209,20161208,     ,     ,     ,     
  209,20161209,     ,     ,     ,     
  209,20161210,     ,     ,     ,     
  209,20161211,     ,     ,     ,     
  209,20161212,     ,     ,     ,     
  209,20161213,     ,     ,     ,     
  209,20161214,     ,     ,     ,     
  209,20161215,     ,     ,     ,     
  209,20161216,     ,     ,     ,     
  209,20161217,     ,     ,     ,     
  209,20161218,     ,     ,     ,     
  209,20161219,     ,     ,     ,     
  209,20161220,     ,     ,     ,     
  209,20161221,     ,     ,     ,     
  209,20161222,     ,     ,     ,     
  209,20161223,     ,     ,     ,     
  209,20161224,     ,     ,     ,     
  209,20161225,     ,     ,     ,     
  209,20161226,     ,     ,     ,     
  209,20161227,     ,     ,     ,     
  209,20161228,     ,     ,     ,     
  209,20161229,     ,     ,     ,     
  209,20161230,     ,     ,     ,     
  209,20161231,     ,     ,     ,     
  209,20170101,     ,     ,     ,     
  209,20170102,     ,     ,     ,     
  209,20170103,     ,     ,     ,     
  209,20170104,     ,     ,     ,     
  209,20170105,     ,     ,     ,     
  209,20170106,     ,     ,     ,     
  209,20170107,     ,     ,     ,     
  209,20170108,     ,     ,     ,     
  209,20170109,     ,     ,     ,     
  209,20170110,     ,     ,     ,     
  209,20170111,     ,     ,     ,     
  209,20170112,     ,     ,     ,     
  209,20170113,     ,     ,     ,     
  209,20170114,     ,     ,     ,     
  209,20170115,     ,     ,     ,     
  209,20170116,     ,     ,     ,     
  209,20170117,     ,     ,     ,     
  209,20170118,     ,     ,     ,     
  209,20170119,     ,     ,     ,     
  209,20170120,     ,     ,     ,     
  209,20170121,     ,     ,     ,     
  209,20170122,     ,     ,     ,     
  209,20170123,     ,     ,     ,     
  209,20170124,     ,     ,     ,     
  209,20170125,     ,     ,     ,     
  209,20170126,     ,     ,     ,     
  209,20170127,     ,     ,     ,     
  209,20170128,     ,     ,     ,     
  209,20170129,     ,     ,     ,     
  209,20170130,     ,     ,     ,     
  209,20170131,     ,     ,     ,     
  209,20170201,     ,     ,     ,     
  209,20170202,     ,     ,     ,     
  209,20170203,     ,     ,     ,     
  209,20170204,     ,     ,     ,     
  209,20170205,     ,     ,     ,     
  209,20170206,     ,     ,     ,     
  209,20170207,     ,     ,     ,     
  209,20170208,     ,     ,     ,     
  209,20170209,     ,     ,     ,     
  209,20170210,     ,     ,     ,     
  209,20170211,     ,     ,     ,     
  209,20170212,     ,     ,     ,     
  209,20170213,     ,     ,     ,     
  209,20170214,     ,     ,     ,     
  209,20170215,     ,     ,     ,     
  209,20170216,     ,     ,     ,     
  209,20170217,     ,     ,     ,     
  209,20170218,     ,     ,     ,     
  209,20170219,     ,     ,     ,     
  209,20170220,     ,     ,     ,     
  209,20170221,     ,     ,     ,     
  209,20170222,     ,     ,     ,     
  209,20170223,     ,     ,     ,     
  209,20170224,     ,     ,     ,     
  209,20170225,     ,     ,     ,     
  209,20170226,     ,     ,     ,     
  209,20170227,     ,     ,     ,     
  209,20170228,     ,     ,     ,     
  209,20170301,     ,     ,     ,     
  209,20170302,     ,     ,     ,     
  209,20170303,     ,     ,     ,     
  209,20170304,     ,     ,     ,     
  209,20170305,     ,     ,     ,     
  209,20170306,     ,     ,     ,     
  209,20170307,     ,     ,     ,     
  209,20170308,     ,     ,     ,     
  209,20170309,     ,     ,     ,     
  209,20170310,     ,     ,     ,     
  209,20170311,     ,     ,     ,     
  209,20170312,     ,     ,     ,     
  209,20170313,     ,     ,     ,     
  209,20170314,     ,     ,     ,     
